Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
dell,Intel,5,13,,8,DDR4,,512,15,1920x1200,120,Intel,1.63,,18490000
lg,Intel,7,13,4.6,16,DDR5,6000,512,16,2560x1600,120,Intel,2,80,41490000
lg,Intel,5,13,,16,LPDDR5,5200,512,14,1920x1200,60,Intel,1.25,72,31990000
lg,Intel,7,13,,16,,,512,14,1920x1200,60,Intel,1,72,33990000
lg,Intel,7,13,,16,LPDDR5,6000,512,16,2560x1600,60,NVIDIA,1.29,90,44490000
lg,Intel,5,13,4.6,16,DDR5,6000,512,14,2880x1800,90,Intel,1.5,,34490000
hp,Intel,3,12,4.4,8,DDR4,3200,256,14,1920x1080,60,Intel,1.41,41,12990000
hp,Intel,3,12,4.4,8,DDR4,3200,512,15.6,1920x1080,60,Intel,1.69,41,13690000
hp,Intel,5,12,4.4,8,DDR4,3200,512,15.6,1920x1080,60,Intel,1.7,41,18890000
hp,Intel,5,12,4.4,8,DDR4,3200,512,14,1920x1080,60,Intel,1.47,41,18590000
hp,Intel,3,,3.8,8,DDR4,3200,256,14,1920x1080,60,Intel,1.41,41,11990000
hp,Intel,5,12,4.4,8,DDR4,3200,512,15.6,1920x1080,60,Intel,1.72,41.04,19790000
hp,Intel,7,12,4.7,8,DDR4,3200,512,15.6,1920x1080,60,Intel,1.69,41,20890000
hp,Intel,5,12,4.4,16,DDR4,3200,512,15.6,1920x1080,144,NVIDIA,2.29,52.5,24590000
hp,AMD,5,7,4.3,8,DDR4,3200,512,14,1920x1080,60,AMD,1.36,41,14190000
hp,Intel,5,12,4.4,8,DDR4,3200,256,14,1920x1080,60,Intel,1.47,41,17590000
hp,Intel,3,11,4.1,8,DDR4,3200,512,15.6,1920x1080,60,Intel,1.7,41,13690000
hp,Intel,5,13,4.6,16,DDR4,3200,512,14,1920x1080,60,Intel,1.53,43,24290000
hp,Intel,5,12,4.4,8,DDR4,3200,512,14,1920x1080,60,Intel,1.41,43,19690000
hp,Intel,3,11,4.1,8,DDR4,3200,256,14,1920x1080,60,Intel,1.47,41,12990000
hp,Intel,7,12,4.7,16,LPDDR4,4267,512,13.3,2880x1800,60,Intel,1.34,66,32990000
hp,AMD,5,6,4.5,8,DDR5,4800,512,16.1,1920x1080,144,NVIDIA,2.4,70,26490000
hp,Intel,5,12,4.4,16,DDR4,3200,512,15.6,1920x1080,144,NVIDIA,2.31,70,27990000
hp,Intel,5,12,4.4,16,DDR4,3200,512,15.6,1920x1080,60,Intel,1.72,41,20990000
hp,Intel,3,12,4.4,8,DDR4,3200,256,15.6,1920x1080,60,Intel,1.74,41,15290000
hp,Intel,5,12,4.4,16,LPDDR4X,4266,512,13.3,2880x1800,60,Intel,1.34,66,29590000
hp,AMD,5,5,4.3,8,DDR4,3200,512,14,1920x1080,60,AMD,1.47,41,13990000
hp,Intel,5,13,4.6,16,DDR4,3200,512,14,1920x1080,60,Intel,1.39,41.04,19590000
hp,Intel,5,13,4.6,8,DDR4,3200,512,14,1920x1080,60,Intel,1.39,41.04,18790000
hp,Intel,7,12,4.7,16,DDR4,3200,512,13.3,1920x1080,60,Intel,1.28,42,27790000
hp,Intel,5,12,4.4,16,DDR4,3200,512,13.3,1920x1080,60,Intel,1.28,42,23390000
hp,Intel,7,13,5,16,DDR4,3200,512,13.3,1920x1080,60,Intel,1.22,42,27790000
hp,Intel,5,13,4.7,16,DDR5,5200,512,16.1,1920x1080,144,NVIDIA,2.34,70,29690000
hp,Intel,9,12,5,32,DDR5,4800,512,16,3840x2400,60,NVIDIA,2.32,83,65390000
hp,AMD,9,6,4.9,32,DDR5,4800,1024,16.1,2560x1440,165,NVIDIA,2.35,83,62890000
hp,Intel,7,12,4.7,16,LPDDR5,4800,1024,13.5,1920x1280,60,Intel,0.99,68,52590000
hp,AMD,7,6,4.7,16,DDR5,4800,1024,16.1,2560x1440,165,NVIDIA,2.35,83,50890000
hp,Intel,7,12,4.7,16,DDR5,4800,512,14,1920x1200,60,Intel,1.35,51,49990000
